"codigo"|"calles"|"long"|"lat"|"empresa"|"orden"|"distan_paradas"|"lineas"|"Unnamed: 8"
"C00001"|"Tatu Carreta y Pje Laguna del Desierto"|"-59.047020000000003"|"-27.45544"|"Línea 2 C Villa Prosperidad - Barrio Carpincho Macho VUELTA"|"54"|"168.0"|"Línea 2 C "|""
"C00002"|"Pje Laguna del Desierto y Tapir"|"-59.048499999999997"|"-27.45652"|"Línea 2 C Barrio Carpincho Macho - Villa Prosperidad IDA"|"2"|"0.0"|"Línea 2 C "|""
"C00003"|"Tapir y Laguna del Desierto"|"-59.048180000000002"|"-27.4571"|"Línea 2 C Barrio Carpincho Macho - Villa Prosperidad IDA"|"3"|"78.0"|"Línea 2 C "|""
"C00004"|"Laguna del Desierto y Tatu Carreta"|"-59.046680000000002"|"-27.45599"|"Línea 2 C Barrio Carpincho Macho - Villa Prosperidad IDA"|"4"|"198.0"|"Línea 2 C "|""
"C00005"|"Tatu Carreta y Villa Carlos Paz"|"-59.045189999999998"|"-27.45726"|"Línea 2 C Barrio Carpincho Macho - Villa Prosperidad IDA"|"5"|"221.0"|"Línea 2 C "|""
"C00006"|"Tatu Carreta e Isla del Cerrito"|"-59.042650000000002"|"-27.45954"|"Línea 2 A Barrio Carpincho Macho - Villa Prosperidad IDA"|"6"|"357.0"|"Línea 2 A "|""
"C00007"|"Tatu Carreta y Republica de Israel"|"-59.040849999999999"|"-27.46112"|"Línea 2 A Barrio Carpincho Macho - Villa Prosperidad IDA"|"7"|"250.0"|"Línea 2 A "|""
"C00008"|"Juan de la Cruz Navarro 1"|"-59.054879999999997"|"-27.47424"|"Línea 2 A Villa Prosperidad - Barrio Carpincho Macho VUELTA"|"43"|"2657.0"|"Línea 2 A "|""
"C00011"|"Colectora Victorio Pereyra y Ushuaia"|"-59.036149999999999"|"-27.45822"|"Línea 2 A Barrio Carpincho Macho - Villa Prosperidad IDA"|"9"|"4607.0"|"Línea 2 A "|""
"C00012"|"Ushuaia e Isaias"|"-59.034920000000000"|"-27.45929"|"Línea 3 C Barrio Vial - Barrio Monte Alto IDA"|"1"|"0.0"|"Línea 3 C "|""
"C00013"|"Ushuaia y Fotheringam"|"-59.032460000000000"|"-27.46142"|"Línea 3 C Barrio Vial - Barrio Monte Alto IDA"|"2"|"340.0"|"Línea 3 C "|""
