"""cueanexo""|""grado""|""turno""|""subtotal_por_turno"""
"""220000100""|""Sala de 2 años""|""Mañana""|""13"""
"""220000100""|""Sala de 2 años""|NULL|""13"""
"""220000100""|""Sala de 3 años""|""Mañana""|""13"""
"""220000100""|""Sala de 3 años""|""Tarde""|""29"""
"""220000100""|""Sala de 3 años""|NULL|""42"""
"""220000100""|""Sala de 4 años""|""Mañana""|""34"""
"""220000100""|""Sala de 4 años""|""Tarde""|""33"""
"""220000100""|""Sala de 4 años""|NULL|""67"""
"""220000100""|""Sala de 5 años""|""Mañana""|""37"""
"""220000100""|""Sala de 5 años""|""Tarde""|""33"""
"""220000100""|""Sala de 5 años""|NULL|""70"""
"""220000101""|""Sala de 3 años""|""Mañana""|""14"""
"""220000101""|""Sala de 3 años""|NULL|""14"""
"""220000101""|""Sala de 4 años""|""Mañana""|""13"""
"""220000101""|""Sala de 4 años""|NULL|""13"""
"""220000300""|""Sala de 3 años""|""Mañana""|""12"""
"""220000300""|""Sala de 3 años""|""Tarde""|""24"""
"""220000300""|""Sala de 3 años""|NULL|""36"""
"""220000300""|""Sala de 4 años""|""Mañana""|""40"""
"""220000300""|""Sala de 4 años""|""Tarde""|""26"""
"""220000300""|""Sala de 4 años""|NULL|""66"""
"""220000300""|""Sala de 5 años""|""Mañana""|""41"""
"""220000300""|""Sala de 5 años""|""Tarde""|""33"""
"""220000300""|""Sala de 5 años""|NULL|""74"""
"""220000400""|""Sala de 4 años""|""Mañana""|""8"""
"""220000400""|""Sala de 4 años""|NULL|""8"""
"""220000400""|""Sala de 5 años""|""Mañana""|""16"""
"""220000400""|""Sala de 5 años""|NULL|""16"""
"""220001200""|""Sala de 4 años""|""Mañana""|""39"""
"""220001200""|""Sala de 4 años""|""Tarde""|""47"""
"""220001200""|""Sala de 4 años""|NULL|""86"""
"""220001200""|""Sala de 5 años""|""Mañana""|""45"""
"""220001200""|""Sala de 5 años""|""Tarde""|""36"""
"""220001200""|""Sala de 5 años""|NULL|""81"""
"""220001300""|""Sala de 4 años""|""Mañana""|""44"""
"""220001300""|""Sala de 4 años""|""Tarde""|""44"""
"""220001300""|""Sala de 4 años""|NULL|""88"""
"""220001300""|""Sala de 5 años""|""Mañana""|""66"""
"""220001300""|""Sala de 5 años""|""Tarde""|""65"""
"""220001300""|""Sala de 5 años""|NULL|""131"""
"""220001900""|""Sala de 3 años""|""Tarde""|""16"""
"""220001900""|""Sala de 3 años""|NULL|""16"""
"""220001900""|""Sala de 4 años""|""Mañana""|""36"""
"""220001900""|""Sala de 4 años""|""Tarde""|""19"""
"""220001900""|""Sala de 4 años""|NULL|""55"""
"""220001900""|""Sala de 5 años""|""Mañana""|""39"""
"""220001900""|""Sala de 5 años""|""Tarde""|""34"""
"""220001900""|""Sala de 5 años""|NULL|""73"""
"""220001901""|""Sala de 3 años""|""Mañana""|""4"""
"""220001901""|""Sala de 3 años""|NULL|""4"""
"""220001901""|""Sala de 4 años""|""Mañana""|""2"""
"""220001901""|""Sala de 4 años""|NULL|""2"""
"""220001901""|""Sala de 5 años""|""Mañana""|""9"""
"""220001901""|""Sala de 5 años""|NULL|""9"""
"""220003100""|""Sala de 4 años""|""Doble""|""4"""
"""220003100""|""Sala de 4 años""|NULL|""4"""
"""220003100""|""Sala de 5 años""|""Doble""|""6"""
"""220003100""|""Sala de 5 años""|NULL|""6"""
"""220003200""|""Sala de 3 años""|""Doble""|""3"""
"""220003200""|""Sala de 3 años""|NULL|""3"""
"""220003200""|""Sala de 4 años""|""Doble""|""3"""
"""220003200""|""Sala de 4 años""|NULL|""3"""
"""220003200""|""Sala de 5 años""|""Doble""|""2"""
"""220003200""|""Sala de 5 años""|NULL|""2"""
"""220003300""|""Sala de 4 años""|""Mañana""|""45"""
"""220003300""|""Sala de 4 años""|""Tarde""|""21"""
"""220003300""|""Sala de 4 años""|NULL|""66"""
"""220003300""|""Sala de 5 años""|""Mañana""|""32"""
"""220003300""|""Sala de 5 años""|""Tarde""|""34"""
"""220003300""|""Sala de 5 años""|NULL|""66"""
"""220003500""|""Sala de 3 años""|""Doble""|""2"""
"""220003500""|""Sala de 3 años""|NULL|""2"""
"""220003500""|""Sala de 4 años""|""Doble""|""3"""
"""220003500""|""Sala de 4 años""|NULL|""3"""
"""220003500""|""Sala de 5 años""|""Doble""|""5"""
"""220003500""|""Sala de 5 años""|NULL|""5"""
"""220004300""|""Sala de 4 años""|""Mañana""|""38"""
"""220004300""|""Sala de 4 años""|""Tarde""|""37"""
"""220004300""|""Sala de 4 años""|NULL|""75"""
"""220004300""|""Sala de 5 años""|""Mañana""|""85"""
"""220004300""|""Sala de 5 años""|""Tarde""|""84"""
"""220004300""|""Sala de 5 años""|NULL|""169"""
"""220004301""|""Sala de 4 años""|""Mañana""|""10"""
"""220004301""|""Sala de 4 años""|""Tarde""|""6"""
"""220004301""|""Sala de 4 años""|NULL|""16"""
"""220004301""|""Sala de 5 años""|""Mañana""|""8"""
"""220004301""|""Sala de 5 años""|""Tarde""|""12"""
"""220004301""|""Sala de 5 años""|NULL|""20"""
"""220004600""|""Sala de 4 años""|""Mañana""|""47"""
