"id","area","edad","mujer","varon","total"
"1","220070101","00 a 04","45","55","100"
"2","220070101","05 a 09","53","58","111"
"3","220070101","10 a 14","57","52","109"
"4","220070101","15 a 19","58","59","117"
"5","220070101","20 a 24","69","60","129"
"6","220070101","25 a 29","53","44","97"
"7","220070101","30 a 34","31","32","63"
"8","220070101","35 a 39","39","31","70"
"9","220070101","40 a 44","43","26","69"
"10","220070101","45 a 49","42","26","68"
"11","220070101","50 a 54","17","20","37"
"12","220070101","55 a 59","10","14","24"
"13","220070101","60 a 64","15","10","25"
"14","220070101","65 a 69","8","10","18"
"15","220070101","70 a 74","4","4","8"
"16","220070101","75 a 79","1","1","2"
"17","220070101","80 a 84","1","1","2"
"18","220070101","85 a 89","2","0","2"
"19","220070102","00 a 04","35","24","59"
"20","220070102","05 a 09","38","50","88"
"21","220070102","10 a 14","49","44","93"
"22","220070102","15 a 19","38","54","92"
"23","220070102","20 a 24","47","52","99"
"24","220070102","25 a 29","43","41","84"
"25","220070102","30 a 34","39","37","76"
"26","220070102","35 a 39","32","38","70"
"27","220070102","40 a 44","35","33","68"
"28","220070102","45 a 49","33","32","65"
"29","220070102","50 a 54","16","29","45"
"30","220070102","55 a 59","30","30","60"
"31","220070102","60 a 64","32","23","55"
"32","220070102","65 a 69","18","16","34"
"33","220070102","70 a 74","12","15","27"
"34","220070102","75 a 79","16","4","20"
"35","220070102","80 a 84","6","6","12"
"36","220070102","85 a 89","3","0","3"
"37","220070102","90 a 94","1","0","1"
"38","220070103","00 a 04","13","23","36"
"39","220070103","05 a 09","21","23","44"
"40","220070103","10 a 14","26","23","49"
"41","220070103","15 a 19","28","32","60"
"42","220070103","20 a 24","29","28","57"
"43","220070103","25 a 29","35","21","56"
"44","220070103","30 a 34","18","26","44"
"45","220070103","35 a 39","18","12","30"
"46","220070103","40 a 44","15","20","35"
"47","220070103","45 a 49","25","16","41"
"48","220070103","50 a 54","15","16","31"
"49","220070103","55 a 59","11","16","27"
"50","220070103","60 a 64","16","11","27"
"51","220070103","65 a 69","13","7","20"
"52","220070103","70 a 74","6","4","10"
"53","220070103","75 a 79","6","3","9"
"54","220070103","80 a 84","2","3","5"
"55","220070103","85 a 89","2","1","3"
"56","220070104","00 a 04","10","14","24"
"57","220070104","05 a 09","18","20","38"
"58","220070104","10 a 14","15","20","35"
"59","220070104","15 a 19","24","20","44"
"60","220070104","20 a 24","17","23","40"
"61","220070104","25 a 29","26","10","36"
"62","220070104","30 a 34","15","25","40"
"63","220070104","35 a 39","22","13","35"
"64","220070104","40 a 44","15","19","34"
"65","220070104","45 a 49","23","8","31"
"66","220070104","50 a 54","19","10","29"
"67","220070104","55 a 59","18","17","35"
"68","220070104","60 a 64","9","10","19"
"69","220070104","65 a 69","11","8","19"
"70","220070104","70 a 74","9","9","18"
"71","220070104","75 a 79","9","7","16"
"72","220070104","80 a 84","5","4","9"
"73","220070104","85 a 89","1","5","6"
"74","220070105","00 a 04","32","36","68"
"75","220070105","05 a 09","37","29","66"
"76","220070105","10 a 14","41","45","86"
"77","220070105","15 a 19","38","32","70"
"78","220070105","20 a 24","37","45","82"
"79","220070105","25 a 29","40","43","83"
"80","220070105","30 a 34","28","29","57"
"81","220070105","35 a 39","35","28","63"
"82","220070105","40 a 44","31","38","69"
"83","220070105","45 a 49","28","25","53"
"84","220070105","50 a 54","19","23","42"
"85","220070105","55 a 59","21","27","48"
"86","220070105","60 a 64","14","26","40"
"87","220070105","65 a 69","11","15","26"
"88","220070105","70 a 74","15","13","28"
"89","220070105","75 a 79","7","6","13"
"90","220070105","80 a 84","1","2","3"
"91","220070105","85 a 89","3","0","3"
"92","220070105","90 a 94","1","1","2"
"93","220070106","00 a 04","23","39","62"
"94","220070106","05 a 09","28","44","72"
"95","220070106","10 a 14","49","56","105"
"96","220070106","15 a 19","39","44","83"
"97","220070106","20 a 24","45","36","81"
"98","220070106","25 a 29","43","40","83"
"99","220070106","30 a 34","36","37","73"
"100","220070106","35 a 39","44","43","87"
"101","220070106","40 a 44","38","37","75"
"102","220070106","45 a 49","37","34","71"
"103","220070106","50 a 54","30","32","62"
"104","220070106","55 a 59","32","32","64"
"105","220070106","60 a 64","20","16","36"
"106","220070106","65 a 69","25","20","45"
"107","220070106","70 a 74","10","11","21"
"108","220070106","75 a 79","11","9","20"
"109","220070106","80 a 84","3","2","5"
"110","220070106","85 a 89","6","2","8"
"111","220070106","90 a 94","2","0","2"
"112","220070201","00 a 04","5","3","8"
"113","220070201","05 a 09","5","3","8"
"114","220070201","10 a 14","4","6","10"
"115","220070201","15 a 19","6","1","7"
"116","220070201","20 a 24","2","4","6"
"117","220070201","25 a 29","6","5","11"
"118","220070201","30 a 34","4","7","11"
"119","220070201","35 a 39","5","5","10"
"120","220070201","40 a 44","2","1","3"
"121","220070201","45 a 49","3","3","6"
